y	y_pred
21.44	20
21.27	20
21.09	21
19.89	18
19.99	18
20.04	18
20.34	19
20	18
20.2	19
19.65	18
19.25	17
19.1	17
19.02	17
19.36	18
19.24	16
20.26	18
20.36	19
19.86	18
19.9	19
19.59	17
19.56	17
18.78	15
19.2	15
20.02	17
19.9	17
19.92	17
20.07	17
20.51	18
20.09	17
20.6	18
20.31	18
20.01	17
19.98	16
21.04	19
20.44	18
20.45	18
20.37	18
20.32	18
20.24	18
19.98	17
19.71	16
20.11	17
20.41	17
20.87	18
21.06	18
22.95	21
22.85	20
23	20
24.14	22
24.06	22
24	21
25.31	23
27.84	26
30.31	30
29.9	30
29.45	29
29.8	30
29.73	30
30.31	30
31.65	32
31.3	32
30.4	31
29.21	29
30.4	30
31.09	33
28.68	29
28.25	28
28.38	28
29.19	29
29.03	29
28.98	29
28.9	29
28.22	28
28.33	29
27.13	27
26.67	25
29.34	29
29.2	29
30	30
29.9	30
29.85	30
29.98	31
29.24	29
30.2	30
31.5	33
30.39	31
30.26	31
30.5	30
33.55	34
34.08	35
34.09	35
36.49	38
36.76	39
35.53	38
35.02	38
33.65	35
34.17	36
33.85	36
32.15	35
28.94	29
29.01	29
28.89	29
28.3	27
30.88	32
30.21	31
29.95	30
30.51	32
29.62	31
28.5	29
27.9	27
29.2	29
29.48	31
28.24	28
28.25	28
29.29	30
29.3	30
29.16	30
28.38	28
28.76	28
30.29	31
30.5	31
32.09	34
29.78	30
31.02	32
31.62	33
31.47	33
31.22	33
30.28	31
29.92	31
30	30
30.97	31
31.97	33
31.93	34
31.3	32
31.58	33
31.48	32
32.81	35
32.53	34
33.9	36
34.08	37
33.2	35
33.24	35
33.28	36
32.26	34
32.18	34
32.44	34
32.06	34
32.2	34
32.87	35
32.93	35
32.51	35
31.36	33
31.22	33
31.28	33
31.57	33
32.71	34
33.15	35
33.4	35
33.34	35
33.33	36
32.92	35
32.73	35
31.4	33
31.13	33
30.5	32
30.17	31
30.24	32
27.9	27
28.75	29
28.32	28
28.67	29
28.37	28
28.18	27
29.96	31
29.85	30
30.13	31
29.69	31
29.24	30
28.85	29
29.71	30
29.79	31
29.18	30
28.81	29
29.36	29
29.83	30
29.6	29
30.65	30
33.49	34
36.84	39
36.93	40
35.46	38
35.74	38
35.29	38
34.4	37
34.02	36
35	37
34.4	37
